Station_Name,Latitude,Longitude,Bearing
E10_TCR,38.019298,-121.933012,
A10_TCR,37.79748,-122.265697,
A20_TCR_107,37.775019,-122.224516,
A20_TCR_108,37.775114,-122.224431,
A58_TCR,37.691097,-122.117681,
A60_TCR,37.669303,-122.086347,
A70_TCR,37.634352,-122.056968,
K10_TCR_101,37.803372,-122.271798,
K10_TCR_101B,37.803443,-122.271795,
K10_TCR_102B,37.80342,-122.271729,
K20_TCR_213E,37.808939,-122.26828,
K30_TCR,37.828852,-122.267037,
C30_TCR,37.893258,-122.124481,
C40_TCR,37.906089,-122.06714,
C50_TCR_104,37.928965,-122.055381,
C54_TCR,37.952776,-122.025776,
L06_TCR,37.688531,-122.104282,
L10_TCR_102A,37.690747,-122.075063,
L14_TCR,37.701699,-122.03665,
L16_TCR,37.700985,-121.99284,
L18_TCR,37.696505,-121.968604,
L20_TCR,37.700178,-121.926266,
L30_TCR_108D,37.701651,-121.898626,
M40_TCR_106B,37.779525,-122.413847,
M50_TCR_101D,37.764877,-122.419699,
R50_TCR_105,37.925498,-122.317038,
R60_TCR,37.937099,-122.353408,
S06_TCR,37.543744,-121.955072,
S12_TCR,37.524482,-121.95065,
S20_TCR,37.503152,-121.939456,
S24_TCH,37.484831,-121.930073,
S26_TCH,37.459631,-121.918166,
S28_TCH,37.438106,-121.907089,
S40_TCR,37.410619,-121.891149,
S44_TCH,37.38789,-121.880909,
S50_TCR,37.368201,-121.874816,
W10_TCR_110,37.68445,-122.466043,
W10_TCR_111E,37.684513,-122.465961,
W20_TCR_101,37.664322,-122.44412,
W30_TCR,37.640282,-122.417452,
W34_TCR,37.623778,-122.407338,
W40_TCR_102,37.600955,-122.387217,
W40_TCR_103,37.60087,-122.387109,
W40_TCR_103A,37.600809,-122.387051,
W40_TCR,37.600358,-122.386573,
Y10_TCR_552,37.616145,-122.391908,
Y10_TCR_A,37.616056,-122.392433,
Y10_TCR_B,37.615868,-122.393155,
